Season,ConfAbbrev,WinPercentage,OpponentWinPercentage,WeightedOpponentConfWinPercentage,NCAATournamentBids,LookbackBids1,AvgRecentBids
1985,ivy,0.3170731707317073,0.4779735682819383,0.508368287633961,1.0,,
1985,wac,0.5591397849462365,0.4738955823293173,0.5064350454603161,2.0,,
1985,southern,0.35526315789473684,0.52,0.5453688171685631,1.0,,
1985,sun_belt,0.6494845360824743,0.490418118466899,0.4854230446079955,3.0,,
1985,meac,0.18072289156626506,0.5081967213114754,0.5069544872432846,1.0,,
1985,sec,0.7108433734939759,0.5435952637244349,0.5550066489912148,5.0,,
1985,maac,0.5154639175257731,0.4738243123336291,0.4487398938562954,1.0,,
1985,wcc,0.5411764705882353,0.451685393258427,0.5014631331071874,1.0,,
1985,pcaa,0.4177215189873418,0.5576496674057649,0.5555068392784169,1.0,,
1985,mvc,0.6,0.5514705882352942,0.5017276197747577,3.0,,
1985,ecacm,0.2839506172839506,0.4831013916500994,0.44783806060126985,1.0,,
1985,ecacn,0.32978723404255317,0.5118483412322274,0.49070804450911165,1.0,,
1985,big_eight,0.648936170212766,0.5419776119402985,0.5532083127113941,3.0,,
1985,mid_cont,0.32,0.5216881594372802,0.4954678742292171,,,
1985,metro,0.5842696629213483,0.5518867924528302,0.5612913714878698,2.0,,
1985,ovc,0.4,0.4623059866962306,0.5099614895669439,1.0,,
1985,pac_ten,0.6179775280898876,0.549079754601227,0.5439511013162919,4.0,,
1985,big_sky,0.49382716049382713,0.45589692765113976,0.5089669506271394,1.0,,
1985,swc,0.6666666666666666,0.5270142180094787,0.5543631837063258,3.0,,
1985,big_ten,0.7857142857142857,0.5637030247479377,0.5296906093567448,6.0,,
1985,swac,0.33766233766233766,0.4682971014492754,0.439981402246066,1.0,,
1985,gsc,0.34782608695652173,0.47836538461538464,0.45851673427479844,,,
1985,ind,0.4117647058823529,0.4858173076923077,0.4849057193146393,3.0,,
1985,southland,0.5617977528089888,0.41835016835016836,0.46195604470756096,1.0,,
1985,a_sun,0.46835443037974683,0.41444114737883286,0.4570474753078834,1.0,,
1985,mw_city,0.5348837209302325,0.5669050051072523,0.5359729129414054,1.0,,
1985,ecc,0.2857142857142857,0.4968220338983051,0.4556018029476861,1.0,,
1985,mac,0.4722222222222222,0.539227895392279,0.4974819472851786,2.0,,
1985,acc,0.8317757009345794,0.4737295434969854,0.49108103356801003,5.0,,
1985,ecacs,0.49411764705882355,0.448,0.46805166440799645,1.0,,
1985,big_east,0.8202247191011236,0.46742209631728043,0.4577114353780377,6.0,,
1985,a_ten,0.4594594594594595,0.5399768250289687,0.5330960890866308,1.0,,
1986,ivy,0.4050632911392405,0.4922341696535245,0.4940019059018946,1.0,1.0,1.0
1986,wac,0.47368421052631576,0.5281757402101241,0.5272971664013971,2.0,2.0,2.0
1986,southern,0.4057971014492754,0.5355555555555556,0.5445802850006903,1.0,1.0,1.0
1986,sun_belt,0.631578947368421,0.5346938775510204,0.5410468829791732,4.0,3.0,3.0
1986,meac,0.2111111111111111,0.42835481425322214,0.4621134940841832,1.0,1.0,1.0
1986,sec,0.6941176470588235,0.5106382978723404,0.5290657071551542,4.0,5.0,5.0
1986,maac,0.3838383838383838,0.5347593582887701,0.4823873079793427,1.0,1.0,1.0
1986,wcc,0.4588235294117647,0.48210526315789476,0.5019089957896529,1.0,1.0,1.0
1986,pcaa,0.5517241379310345,0.5544651619234544,0.5183997480718242,1.0,1.0,1.0
1986,mvc,0.5411764705882353,0.5568807339449541,0.5250294070282329,2.0,3.0,3.0
1986,ecacm,0.28,0.48066298342541436,0.4650734771671687,1.0,1.0,1.0
1986,caa,0.4725274725274725,0.516802906448683,0.5189455224337914,2.0,,
1986,ecacn,0.49333333333333335,0.4606613454960091,0.482750046396173,1.0,1.0,1.0
1986,big_eight,0.7319587628865979,0.5805008944543828,0.5654400642665529,5.0,3.0,3.0
1986,mid_cont,0.35064935064935066,0.5136268343815513,0.4956532506322279,1.0,,
1986,metro,0.6831683168316832,0.5756136183689627,0.5492244022621273,3.0,2.0,2.0
1986,ovc,0.3815789473684211,0.4910112359550562,0.4959253085936732,1.0,1.0,1.0
1986,pac_ten,0.5408163265306123,0.5942658557775847,0.5357980555787576,2.0,4.0,4.0
1986,big_sky,0.475,0.5456292026897214,0.5063406820889668,1.0,1.0,1.0
1986,swc,0.524390243902439,0.5255102040816326,0.5422530601535737,1.0,3.0,3.0
1986,big_ten,0.7578947368421053,0.5605786618444847,0.5299523943048671,6.0,6.0,6.0
1986,mw_coll,0.3888888888888889,0.5442684063373718,0.5090742880017305,1.0,,
1986,swac,0.3924050632911392,0.42752442996742673,0.4468422157938095,1.0,1.0,1.0
1986,big_south,0.3382352941176471,0.40074906367041196,0.4105857875979365,,,
1986,gsc,0.31343283582089554,0.456,0.4816938717536835,,,
1986,ind,0.4813753581661891,0.461500124595066,0.47116639518813314,2.0,3.0,3.0
1986,southland,0.5681818181818182,0.4444444444444444,0.4860080068107781,1.0,1.0,1.0
1986,a_sun,0.39,0.4313319530710835,0.4777129085409632,1.0,1.0,1.0
1986,ecc,0.3375,0.46298342541436466,0.4384999211180034,1.0,1.0,1.0
1986,mac,0.43478260869565216,0.5637910085054678,0.4802361233753668,2.0,2.0,2.0
1986,acc,0.8245614035087719,0.5309541150764748,0.5131188637816008,6.0,5.0,5.0
1986,big_east,0.7575757575757576,0.5073593073593073,0.47329148289108136,4.0,6.0,6.0
1986,a_ten,0.4936708860759494,0.5675675675675675,0.532033684506653,3.0,1.0,1.0
1987,ivy,0.4146341463414634,0.49892008639308855,0.504597190984738,1.0,1.0,1.0
1987,wac,0.5625,0.4857635893011217,0.5232612724868989,3.0,2.0,2.0
1987,southern,0.3783783783783784,0.5376226826608506,0.514788089379422,1.0,1.0,1.0
1987,sun_belt,0.52,0.5449346405228758,0.51155713167801,2.0,4.0,3.5
1987,meac,0.2830188679245283,0.4324683965402528,0.4518062767828512,1.0,1.0,1.0
1987,sec,0.7078651685393258,0.5400696864111498,0.5160346711228625,6.0,4.0,4.5
1987,maac,0.41304347826086957,0.5171428571428571,0.49318839887612254,1.0,1.0,1.0
1987,wcc,0.5365853658536586,0.4678800856531049,0.5199293861778671,2.0,1.0,1.0
1987,pcaa,0.5434782608695652,0.5553453169347209,0.5407707999089241,1.0,1.0,1.0
1987,mvc,0.5102040816326531,0.5588009223674096,0.5417517649937637,2.0,2.0,2.5
1987,ecacm,0.3235294117647059,0.44258373205741625,0.45618416280127005,1.0,1.0,1.0
1987,caa,0.5444444444444444,0.514052583862194,0.5059102838298335,1.0,2.0,2.0
1987,ecacn,0.35,0.518918918918919,0.5269065594404162,1.0,1.0,1.0
1987,big_eight,0.6176470588235294,0.5737451737451738,0.5625889100453452,4.0,5.0,4.0
1987,mid_cont,0.5185185185185185,0.4444444444444444,0.4719212655640383,1.0,1.0,1.0
1987,metro,0.59,0.5511498810467883,0.522714919104175,,,
1987,ovc,0.4838709677419355,0.4960835509138381,0.4550727290340081,2.0,1.0,1.0
1987,swc,0.6105263157894737,0.5340811044003452,0.5320942784295477,3.0,1.0,2.0
1987,big_sky,0.475,0.465,0.5152035766719331,1.0,1.0,1.0
1987,mw_coll,0.4742268041237113,0.5160493827160494,0.5076337163902113,1.0,1.0,1.0
1987,big_ten,0.7474747474747475,0.5343827671913836,0.5351653034792134,6.0,6.0,6.0
1987,pac_ten,0.5909090909090909,0.5370370370370371,0.5396737746402591,2.0,2.0,3.0
1987,swac,0.3,0.4995990376904571,0.4608024896012266,1.0,1.0,1.0
1987,big_south,0.3137254901960784,0.5129274395329442,0.4640871041861121,,,
1987,gsc,0.425531914893617,0.4014423076923077,0.40699459801616633,,,
1987,southland,0.44660194174757284,0.5333333333333333,0.4911051831918032,1.0,1.0,1.0
1987,ind,0.45321637426900585,0.4781273983115886,0.48460918165024963,3.0,2.0,2.5
1987,a_sun,0.3088235294117647,0.5272938443670151,0.499176045451469,1.0,1.0,1.0
1987,ecc,0.4069767441860465,0.4606741573033708,0.4831998746238006,1.0,1.0,1.0
1987,mac,0.43037974683544306,0.4935194416749751,0.5104897263183664,1.0,2.0,2.0
1987,acc,0.8148148148148148,0.4920152091254753,0.49122207490686026,6.0,6.0,5.5
1987,big_east,0.8163265306122449,0.489010989010989,0.46870001523899113,5.0,4.0,5.0
1987,a_ten,0.5,0.551906779661017,0.5360717066675885,2.0,3.0,2.0
1988,ivy,0.3764705882352941,0.5148619957537155,0.5091930143280133,1.0,1.0,1.0
1988,wac,0.6632653061224489,0.47017543859649125,0.4987762137611424,3.0,3.0,2.3333333333333335
1988,southern,0.4266666666666667,0.5056818181818182,0.48636055232465525,1.0,1.0,1.0
1988,sun_belt,0.4948453608247423,0.5449251247920133,0.5191581368013031,1.0,2.0,3.0
1988,meac,0.2463768115942029,0.48358862144420134,0.44724970819337256,1.0,1.0,1.0
1988,sec,0.7311827956989247,0.5452218430034129,0.5470577068877025,5.0,6.0,5.0
1988,maac,0.39603960396039606,0.515798462852263,0.486688886697546,1.0,1.0,1.0
1988,wcc,0.5647058823529412,0.48826291079812206,0.4977477764945224,1.0,2.0,1.3333333333333333
1988,pcaa,0.5476190476190477,0.534957627118644,0.5563413164849533,3.0,1.0,1.0
1988,mvc,0.4948453608247423,0.5382215288611545,0.5325719399833554,2.0,2.0,2.3333333333333335
1988,ecacm,0.27631578947368424,0.47396386822529224,0.457982078317444,1.0,1.0,1.0
1988,caa,0.43617021276595747,0.5399274047186933,0.49981454760947475,1.0,1.0,1.5
1988,ecacn,0.25609756097560976,0.5044687189672294,0.4806622938300718,1.0,1.0,1.0
1988,big_eight,0.6822429906542056,0.5427706283118849,0.5517483063643928,5.0,4.0,4.0
1988,mid_cont,0.5057471264367817,0.47224594363791633,0.48287472954719907,1.0,1.0,1.0
1988,metro,0.7142857142857143,0.5130694548170276,0.5124698222917932,3.0,3.0,2.5
1988,ovc,0.35294117647058826,0.5242085661080075,0.5077588129398645,1.0,2.0,1.3333333333333333
1988,pac_ten,0.5384615384615384,0.5968634686346863,0.5795990733481664,2.0,2.0,2.6666666666666665
1988,swc,0.5882352941176471,0.5020145044319098,0.5142827752215399,3.0,3.0,2.3333333333333335
1988,big_sky,0.4246575342465753,0.51994851994852,0.5316123578452312,1.0,1.0,1.0
1988,big_ten,0.7102803738317757,0.5209895052473763,0.5229647262553355,5.0,6.0,6.0
1988,mw_coll,0.5698924731182796,0.4284497444633731,0.46550303113188374,1.0,1.0,1.0
1988,swac,0.29411764705882354,0.472397476340694,0.5037273646463295,1.0,1.0,1.0
1988,big_south,0.34615384615384615,0.47904869762174407,0.4857078614975481,,,
1988,asc,0.6195652173913043,0.401541095890411,0.47078999330386323,,,
1988,southland,0.36538461538461536,0.48026315789473684,0.5025218901174977,1.0,1.0,1.0
1988,ind,0.3786127167630058,0.5097478554717962,0.4738961593021236,2.0,3.0,2.6666666666666665
1988,a_sun,0.4696969696969697,0.5022222222222222,0.48821111045045307,1.0,1.0,1.0
1988,ecc,0.4935064935064935,0.43202764976958524,0.4423423562376762,1.0,1.0,1.0
1988,mac,0.40963855421686746,0.5101449275362319,0.49826326450436764,1.0,1.0,1.6666666666666667
1988,acc,0.75,0.5353455123113582,0.5021105315464698,5.0,6.0,5.666666666666667
1988,big_east,0.7864077669902912,0.4971240755957272,0.47606889587114937,6.0,5.0,5.0
1988,a_ten,0.5365853658536586,0.5218274111675127,0.4974077061179684,2.0,2.0,2.0
1989,ivy,0.32558139534883723,0.5170340681362725,0.5201205585821769,1.0,1.0,1.0
1989,wac,0.6407766990291263,0.4926229508196721,0.5157437390355456,2.0,3.0,2.5
1989,southern,0.5375,0.4732142857142857,0.49160107713461576,1.0,1.0,1.0
1989,sun_belt,0.5154639175257731,0.5231629392971247,0.5023381939660962,1.0,1.0,2.5
1989,meac,0.345679012345679,0.4368471035137702,0.42884936202002677,1.0,1.0,1.0
1989,sec,0.63,0.5582112567463376,0.542787189631532,5.0,5.0,5.0
1989,maac,0.4897959183673469,0.5004306632213609,0.47680738300126047,1.0,1.0,1.0
1989,wcc,0.5268817204301075,0.5287569573283859,0.48970673490967476,2.0,1.0,1.25
1989,mvc,0.48598130841121495,0.5759087669280114,0.5266287135368471,1.0,2.0,2.25
1989,caa,0.44086021505376344,0.45351867940920937,0.4696119955337273,1.0,1.0,1.3333333333333333
1989,big_eight,0.7222222222222222,0.5381231671554252,0.5444681566203788,4.0,5.0,4.25
1989,mid_cont,0.45054945054945056,0.5071884984025559,0.4882052406507804,1.0,1.0,1.0
1989,big_west,0.48863636363636365,0.5583566760037348,0.5488727433299102,1.0,,
1989,metro,0.6730769230769231,0.501802451333814,0.5178473321570953,4.0,3.0,2.6666666666666665
1989,nec,0.3170731707317073,0.43592142188961647,0.45828420536476544,1.0,,
1989,ovc,0.3258426966292135,0.507112970711297,0.48653371193517947,1.0,1.0,1.25
1989,pac_ten,0.6701030927835051,0.523102310231023,0.5360752081861575,4.0,2.0,2.5
1989,mw_coll,0.5462962962962963,0.4860415175375805,0.4850515564559619,2.0,1.0,1.0
1989,big_sky,0.43037974683544306,0.4915084915084915,0.5146868481414449,1.0,1.0,1.0
1989,big_ten,0.8240740740740741,0.5522279035792549,0.5481540992324693,5.0,5.0,5.75
1989,swc,0.5588235294117647,0.50390625,0.5198852315460316,2.0,3.0,2.5
1989,swac,0.2911392405063291,0.4955839057899902,0.4944470556040319,1.0,1.0,1.0
1989,big_south,0.3037974683544304,0.4376278118609407,0.4744237365580517,,,
1989,nac,0.3132530120481928,0.5030864197530864,0.49558562008003143,1.0,,
1989,asc,0.6373626373626373,0.4137651821862348,0.44349108117625946,1.0,,
1989,southland,0.37383177570093457,0.43857142857142856,0.4920649204119212,1.0,1.0,1.0
1989,ind,0.32929782082324455,0.5223374973533771,0.5036483657922912,2.0,2.0,2.5
1989,a_sun,0.45588235294117646,0.45949074074074076,0.5004764290630034,1.0,1.0,1.0
1989,ecc,0.47191011235955055,0.38013371537726837,0.4336292983595659,1.0,1.0,1.0
1989,mac,0.5454545454545454,0.4856895056374675,0.5074310857434967,1.0,1.0,1.5
1989,acc,0.7767857142857143,0.5305676855895196,0.5059746075391057,6.0,5.0,5.5
1989,big_east,0.8514851485148515,0.47832939322301027,0.46725808271109226,5.0,6.0,5.25
1989,a_ten,0.40476190476190477,0.5519848771266541,0.5168116843751187,2.0,2.0,2.0
1990,ivy,0.40229885057471265,0.43761996161228406,0.46433592868056406,1.0,1.0,1.0
1990,wac,0.6701030927835051,0.48509485094850946,0.5118843210071143,3.0,2.0,2.4
1990,southern,0.4642857142857143,0.4838709677419355,0.5150846072025427,1.0,1.0,1.0
1990,sun_belt,0.5242718446601942,0.5073472544470224,0.4897850695698747,2.0,1.0,2.2
1990,meac,0.345679012345679,0.4358974358974359,0.45919663020263324,1.0,1.0,1.0
1990,sec,0.6304347826086957,0.564390665514261,0.5332271511479325,3.0,5.0,5.0
1990,maac,0.424,0.4993489583333333,0.49309742256049194,1.0,1.0,1.0
1990,wcc,0.3263157894736842,0.5429389312977099,0.5354365438991369,1.0,2.0,1.4
1990,mvc,0.5045045045045045,0.5355859094176851,0.5399582720264359,1.0,1.0,2.0
1990,caa,0.41836734693877553,0.46757679180887374,0.5067914397947102,1.0,1.0,1.25
1990,big_eight,0.7019230769230769,0.5307984790874525,0.5363858371364869,4.0,4.0,4.2
1990,mid_cont,0.5913978494623656,0.48644461657629745,0.45995730959759934,2.0,1.0,1.0
1990,big_west,0.625,0.5101253616200578,0.5250172715830839,3.0,1.0,1.0
1990,metro,0.5652173913043478,0.5550239234449761,0.5451335582454251,2.0,4.0,3.0
1990,nec,0.4835164835164835,0.39063906390639064,0.4417885470871437,1.0,1.0,1.0
1990,ovc,0.4090909090909091,0.48053097345132745,0.47749443480800974,1.0,1.0,1.2
1990,swc,0.5959595959595959,0.47359597652975693,0.47966953429262127,3.0,2.0,2.4
1990,pac_ten,0.6987951807228916,0.51953125,0.5047520542183498,4.0,4.0,2.8
1990,big_sky,0.45121951219512196,0.4353182751540041,0.4634510256235035,1.0,1.0,1.0
1990,big_ten,0.8217821782178217,0.5252201761409128,0.5534216590181634,7.0,5.0,5.6
1990,mw_coll,0.5192307692307693,0.5089094796863863,0.5001814847014835,2.0,2.0,1.25
1990,swac,0.2911392405063291,0.483996120271581,0.4786271267008343,1.0,1.0,1.0
1990,big_south,0.44871794871794873,0.37462537462537465,0.45068536901884865,,,
1990,nac,0.36,0.49476439790575916,0.4816733396665817,1.0,1.0,1.0
1990,asc,0.6494845360824743,0.40522875816993464,0.43731674122850084,,,
1990,ind,0.2932551319648094,0.541012658227848,0.5173514075033926,1.0,2.0,2.4
1990,southland,0.2621359223300971,0.4969040247678019,0.5024716210552272,1.0,1.0,1.0
1990,a_sun,0.3488372093023256,0.5,0.49507931236454267,1.0,1.0,1.0
1990,ecc,0.4725274725274725,0.3996383363471971,0.46808197596946377,1.0,1.0,1.0
1990,mac,0.5666666666666667,0.4672131147540984,0.4992201260944472,1.0,1.0,1.4
1990,acc,0.8017241379310345,0.5051546391752577,0.5143662628129279,5.0,6.0,5.6
1990,big_east,0.7647058823529411,0.5089633671083398,0.49927046130751646,6.0,5.0,5.2
1990,a_ten,0.43333333333333335,0.5597147950089126,0.5276392837997642,1.0,2.0,2.0
1991,ivy,0.3793103448275862,0.4839572192513369,0.5103263674008748,1.0,1.0,1.0
1991,wac,0.6555555555555556,0.4995242626070409,0.5248540641354917,3.0,3.0,2.6
1991,southern,0.4942528735632184,0.46458141674333026,0.5102977084897139,1.0,1.0,1.0
1991,sun_belt,0.5094339622641509,0.5167535368577811,0.5021129459743385,1.0,2.0,2.0
1991,meac,0.23255813953488372,0.5221318879855466,0.5103159069353121,,,
1991,sec,0.6630434782608695,0.5155737704918033,0.5377652184446782,5.0,3.0,4.6
1991,maac,0.5252525252525253,0.49362041467304624,0.4932524591976319,1.0,1.0,1.0
1991,wcc,0.4536082474226804,0.5104640582347588,0.5150089535957023,1.0,1.0,1.4
1991,mvc,0.44660194174757284,0.5349182763744428,0.5285679003559561,1.0,1.0,1.6
